player_id,name,team,status,status_short,practice,probability_of_playing,comment,injury_type,injury_update_date,updated
19788,Ja'Marr Chase,CIN,,,Full / Full / DNP,1,,,,2026-09-12T18:28:52+00:00
25989,Ashton Jeanty,LV,,,Full / Full / Full,1,,,,2026-09-12T18:28:52+00:00
18218,A.J. Brown,NE,IR,IR,,,,,2026-09-12 18:20:02,2026-09-12T18:28:52+00:00
22982,Breece Hall,NYJ,,,Full / Full / Full,1,,,,2026-09-12T18:28:52+00:00
22916,Zay Flowers,BAL,,,Limit / Full / Full,0.99,,,,2026-09-12T18:28:52+00:00
25403,Jeremiyah Love,ARI,Questionable,Q,Limit / Limit / Limit,0.55,,Ankle,2026-09-12 12:16:18,2026-09-12T18:28:52+00:00
25409,Malik Nabers,NYG,Questionable,Q,Full / Full / Full,0.99,,Knee,2026-09-12 12:21:55,2026-09-12T18:28:52+00:00
22955,Brock Bowers,LV,OUT,O,DNP / DNP / DNP,0,,Knee,2026-09-11 18:17:54,2026-09-12T18:28:52+00:00
19211,Tee Higgins,CIN,,,Full / Full / Full,1,,,,2026-09-12T18:28:52+00:00
23062,Emeka Egbuka,TB,,,Full / Full / Full,1,,,,2026-09-12T18:28:52+00:00
